.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
74 78 0
74 78 0
75 75 0
77 72 0
82 70 0
88 68 0
97 67 0
103 67 0
109 68 0
112 69 0
114 71 0
115 75 0
115 82 0
115 90 0
112 99 0
108 108 0
105 112 0
100 117 0
97 121 0
94 123 0
93 124 0
93 123 0
93 120 0
94 116 0
101 109 0
109 102 0
118 96 0
125 89 0
132 83 0
136 77 0
139 74 0
140 73 0
140 72 0
139 72 0
137 72 0
134 73 0
132 76 0
129 78 0
126 82 0
122 86 0
120 91 0
119 94 0
119 97 0
118 101 0
118 105 0
118 107 0
118 109 0
120 112 0
122 114 0
125 116 0
129 116 0
134 118 0
141 118 0
146 118 0
151 118 0
155 118 0
157 117 0
158 116 0
159 115 0
.PEN_UP
