.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
73 79 0
73 79 0
74 77 0
78 75 0
82 74 0
87 72 0
94 72 0
99 72 0
103 72 0
106 73 0
108 76 0
109 80 0
111 86 0
111 92 0
111 99 0
111 106 0
108 112 0
107 117 0
105 121 0
102 126 0
100 127 0
98 129 0
97 131 0
97 132 0
96 131 0
96 129 0
97 126 0
98 123 0
102 117 0
106 109 0
110 103 0
115 96 0
119 90 0
122 86 0
123 83 0
125 81 0
125 80 0
123 82 0
121 86 0
119 89 0
117 93 0
115 95 0
114 98 0
114 101 0
114 103 0
114 106 0
114 109 0
113 112 0
113 114 0
113 116 0
113 119 0
113 120 0
113 122 0
113 123 0
113 125 0
114 126 0
117 127 0
120 127 0
128 127 0
138 127 0
146 127 0
153 125 0
160 125 0
164 125 0
166 124 0
165 124 0
.PEN_UP
