.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
88 52 0
88 52 0
88 57 0
88 63 0
86 70 0
85 78 0
84 83 0
84 88 0
84 93 0
82 99 0
82 102 0
81 106 0
80 109 0
80 110 0
80 109 0
80 107 0
81 104 0
83 102 0
85 100 0
88 97 0
92 95 0
97 94 0
101 94 0
104 94 0
106 94 0
109 94 0
111 96 0
113 98 0
114 100 0
114 102 0
114 105 0
114 106 0
114 107 0
114 109 0
113 111 0
111 111 0
108 113 0
105 114 0
102 114 0
99 114 0
96 114 0
95 114 0
92 114 0
89 114 0
87 113 0
85 113 0
83 113 0
82 113 0
81 112 0
.PEN_UP
