.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
103 37 0
103 37 0
103 40 0
103 42 0
103 46 0
103 51 0
103 56 0
103 60 0
103 65 0
103 69 0
103 72 0
103 76 0
103 80 0
103 83 0
103 86 0
103 89 0
103 92 0
103 95 0
103 98 0
103 100 0
103 102 0
103 104 0
103 105 0
103 106 0
103 105 0
103 104 0
103 102 0
104 100 0
104 98 0
105 95 0
106 93 0
107 93 0
107 91 0
108 90 0
109 90 0
109 89 0
110 88 0
111 88 0
112 88 0
114 88 0
115 88 0
116 88 0
118 88 0
120 89 0
121 90 0
122 91 0
123 92 0
123 93 0
124 93 0
124 94 0
124 95 0
124 96 0
124 98 0
124 99 0
124 101 0
124 102 0
124 103 0
124 104 0
123 104 0
122 104 0
122 105 0
121 105 0
120 105 0
119 105 0
118 105 0
117 105 0
116 105 0
115 105 0
114 105 0
113 105 0
112 105 0
111 105 0
110 105 0
109 105 0
108 105 0
107 105 0
106 105 0
105 105 0
104 105 0
.PEN_UP
