.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
77 70 0
77 70 0
77 69 0
77 68 0
78 67 0
79 66 0
81 66 0
83 65 0
85 65 0
88 65 0
90 66 0
92 67 0
93 68 0
95 70 0
96 73 0
97 75 0
99 77 0
100 79 0
100 81 0
100 83 0
100 85 0
100 87 0
100 89 0
100 90 0
99 91 0
99 92 0
98 93 0
97 93 0
96 93 0
96 92 0
95 90 0
95 89 0
95 88 0
95 86 0
95 84 0
95 81 0
95 78 0
95 77 0
95 74 0
95 72 0
95 71 0
96 69 0
97 67 0
98 66 0
100 65 0
100 64 0
101 63 0
102 63 0
103 62 0
104 62 0
105 62 0
106 62 0
107 62 0
.PEN_UP
