.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
83 73 0
83 73 0
83 72 0
85 71 0
89 71 0
94 71 0
100 71 0
106 72 0
110 73 0
113 74 0
114 77 0
116 80 0
117 84 0
119 90 0
120 93 0
121 97 0
121 99 0
121 100 0
121 101 0
121 103 0
121 104 0
120 104 0
120 103 0
120 102 0
120 101 0
120 100 0
120 98 0
120 96 0
120 93 0
120 91 0
120 88 0
120 85 0
120 83 0
120 80 0
121 78 0
122 75 0
123 75 0
124 73 0
126 72 0
127 71 0
128 70 0
129 70 0
130 70 0
131 70 0
133 70 0
134 70 0
135 70 0
136 70 0
.PEN_UP
