.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
94 122 0
94 122 0
94 121 0
93 120 0
93 119 0
93 116 0
93 113 0
93 111 0
93 107 0
94 103 0
96 97 0
96 94 0
97 89 0
97 85 0
97 80 0
97 74 0
97 71 0
97 67 0
97 63 0
97 59 0
97 58 0
97 55 0
97 53 0
97 51 0
98 51 0
99 50 0
100 49 0
102 49 0
104 49 0
106 49 0
108 51 0
110 54 0
112 57 0
113 60 0
114 65 0
115 69 0
115 74 0
115 76 0
115 79 0
114 81 0
113 82 0
111 84 0
109 85 0
108 87 0
107 88 0
105 88 0
104 88 0
103 88 0
102 88 0
101 88 0
100 88 0
99 88 0
98 88 0
.PEN_UP
