.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
100 60 0
100 60 0
100 64 0
100 70 0
100 75 0
101 82 0
101 89 0
101 94 0
102 103 0
103 108 0
104 115 0
105 120 0
106 124 0
107 127 0
107 130 0
107 131 0
107 133 0
107 134 0
107 135 0
107 134 0
106 132 0
106 128 0
106 125 0
106 121 0
106 115 0
106 109 0
106 104 0
106 101 0
106 97 0
106 93 0
106 90 0
106 88 0
106 85 0
106 83 0
106 81 0
106 79 0
106 78 0
106 76 0
106 75 0
106 73 0
106 72 0
107 71 0
108 70 0
109 68 0
111 68 0
113 67 0
114 67 0
116 67 0
119 67 0
121 67 0
123 68 0
125 70 0
127 71 0
127 73 0
129 74 0
130 76 0
130 79 0
130 80 0
130 83 0
130 85 0
129 87 0
128 88 0
127 89 0
126 89 0
125 89 0
124 89 0
123 89 0
122 89 0
120 89 0
118 89 0
117 89 0
115 89 0
112 89 0
111 89 0
109 89 0
107 89 0
106 89 0
105 89 0
104 89 0
103 89 0
102 89 0
101 89 0
.PEN_UP
