.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
89 80 0
89 80 0
91 80 0
93 79 0
100 78 0
107 75 0
113 73 0
117 71 0
119 69 0
120 67 0
121 65 0
122 62 0
122 61 0
122 59 0
122 57 0
122 56 0
122 54 0
121 53 0
120 51 0
119 49 0
117 47 0
115 47 0
113 46 0
110 45 0
107 45 0
104 45 0
100 45 0
96 45 0
93 45 0
92 45 0
90 45 0
89 45 0
88 46 0
87 47 0
86 48 0
86 49 0
85 50 0
85 52 0
84 54 0
84 56 0
84 59 0
84 62 0
84 64 0
84 67 0
84 70 0
84 73 0
84 74 0
84 77 0
84 80 0
84 82 0
85 85 0
85 88 0
85 92 0
86 94 0
87 98 0
88 102 0
88 106 0
88 108 0
89 111 0
89 114 0
89 115 0
89 118 0
89 120 0
89 121 0
89 123 0
89 124 0
89 125 0
89 126 0
89 127 0
89 128 0
89 129 0
.PEN_UP
