.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
106 58 0
106 58 0
105 56 0
104 54 0
103 53 0
102 52 0
102 51 0
99 50 0
96 50 0
93 50 0
89 50 0
84 50 0
80 50 0
76 53 0
74 53 0
73 55 0
72 58 0
71 61 0
71 63 0
71 66 0
71 70 0
71 73 0
72 75 0
73 77 0
76 79 0
79 79 0
81 79 0
85 79 0
88 78 0
91 77 0
92 76 0
94 73 0
96 71 0
98 68 0
99 67 0
100 65 0
100 63 0
101 62 0
102 61 0
102 60 0
102 59 0
102 58 0
102 60 0
103 65 0
103 72 0
103 79 0
103 85 0
103 92 0
103 101 0
103 109 0
103 117 0
103 124 0
103 129 0
103 132 0
103 134 0
103 135 0
103 136 0
103 137 0
.PEN_UP
