.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
126 28 0
126 28 0
125 28 0
124 28 0
122 28 0
119 28 0
117 29 0
116 29 0
115 30 0
114 31 0
113 33 0
113 36 0
112 39 0
112 42 0
112 45 0
112 48 0
112 52 0
112 54 0
112 58 0
112 62 0
112 65 0
112 69 0
112 74 0
112 78 0
112 82 0
112 85 0
112 89 0
112 93 0
112 97 0
112 100 0
112 103 0
112 106 0
112 107 0
111 109 0
111 110 0
109 111 0
108 112 0
106 113 0
105 113 0
104 113 0
103 113 0
101 113 0
100 113 0
99 112 0
98 112 0
98 111 0
97 110 0
95 109 0
.PEN_UP
.PEN_DOWN
102 69 0
102 69 0
105 69 0
111 69 0
120 70 0
126 70 0
131 70 0
.PEN_UP
