.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
100 42 0
100 42 0
100 45 0
100 47 0
100 52 0
100 57 0
100 64 0
100 69 0
100 78 0
100 83 0
101 92 0
101 98 0
102 105 0
103 109 0
104 115 0
105 117 0
107 121 0
108 124 0
108 127 0
110 129 0
111 130 0
112 132 0
114 134 0
115 135 0
115 136 0
116 136 0
116 135 0
117 133 0
119 131 0
121 129 0
122 126 0
122 123 0
122 121 0
122 118 0
121 116 0
121 113 0
120 112 0
119 109 0
118 107 0
116 106 0
115 104 0
113 102 0
112 99 0
110 97 0
108 96 0
106 94 0
105 92 0
105 91 0
104 90 0
103 89 0
102 88 0
101 87 0
101 86 0
102 86 0
103 86 0
110 86 0
115 86 0
122 86 0
126 85 0
128 85 0
130 85 0
131 85 0
132 85 0
133 85 0
134 85 0
.PEN_UP
