.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
101 69 0
101 69 0
101 68 0
105 67 0
110 65 0
117 62 0
125 59 0
130 56 0
133 54 0
135 52 0
136 50 0
137 48 0
137 47 0
137 45 0
137 44 0
137 43 0
137 42 0
136 41 0
135 40 0
133 39 0
129 38 0
125 37 0
122 37 0
121 37 0
119 37 0
118 39 0
118 40 0
117 42 0
116 44 0
115 48 0
114 52 0
113 57 0
113 64 0
111 71 0
111 78 0
111 86 0
111 93 0
111 100 0
111 106 0
112 112 0
112 117 0
112 121 0
112 124 0
112 128 0
112 131 0
112 132 0
112 135 0
111 136 0
111 137 0
109 138 0
108 139 0
107 140 0
106 140 0
105 140 0
104 140 0
103 140 0
102 140 0
101 140 0
100 139 0
100 138 0
99 138 0
99 137 0
98 137 0
98 136 0
97 135 0
96 134 0
95 134 0
95 133 0
94 133 0
94 132 0
94 131 0
93 131 0
93 130 0
93 129 0
93 127 0
93 123 0
93 119 0
93 115 0
94 110 0
94 106 0
94 103 0
95 99 0
97 96 0
100 94 0
103 91 0
106 89 0
111 87 0
117 85 0
124 81 0
131 80 0
138 78 0
142 77 0
145 75 0
.PEN_UP
