.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
98 49 0
98 49 0
98 48 0
98 50 0
99 55 0
99 59 0
99 64 0
100 69 0
100 76 0
101 83 0
102 90 0
103 97 0
103 104 0
104 111 0
105 118 0
106 122 0
108 127 0
109 130 0
110 133 0
112 135 0
113 136 0
114 136 0
116 136 0
117 136 0
120 135 0
124 133 0
128 131 0
132 130 0
135 128 0
137 127 0
137 126 0
138 126 0
138 125 0
138 124 0
138 123 0
137 123 0
136 121 0
.PEN_UP
.PEN_DOWN
83 84 0
83 84 0
85 84 0
90 84 0
98 84 0
112 85 0
126 85 0
140 86 0
147 87 0
.PEN_UP
