.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
91 111 0
91 111 0
93 107 0
98 101 0
103 93 0
105 83 0
107 73 0
108 61 0
108 53 0
106 44 0
105 40 0
105 38 0
105 37 0
105 36 0
104 36 0
103 39 0
101 44 0
99 51 0
99 61 0
97 73 0
98 83 0
102 92 0
107 101 0
112 107 0
115 113 0
119 116 0
122 118 0
125 120 0
128 120 0
130 120 0
135 120 0
141 120 0
146 118 0
151 117 0
154 116 0
155 115 0
155 114 0
155 112 0
153 110 0
.PEN_UP
.PEN_DOWN
84 81 0
84 81 0
85 79 0
91 78 0
100 78 0
112 76 0
122 76 0
130 76 0
134 75 0
135 75 0
135 74 0
134 74 0
.PEN_UP
