.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
122 93 0
122 93 0
122 92 0
121 91 0
120 90 0
118 89 0
117 88 0
114 87 0
110 86 0
106 85 0
102 85 0
99 85 0
95 85 0
92 86 0
90 86 0
90 87 0
89 88 0
87 90 0
86 92 0
86 94 0
86 97 0
86 99 0
86 102 0
86 105 0
87 107 0
89 109 0
92 111 0
94 113 0
95 115 0
97 116 0
100 116 0
102 116 0
103 116 0
104 116 0
105 115 0
106 114 0
107 112 0
108 111 0
109 109 0
110 107 0
112 105 0
113 103 0
114 101 0
115 97 0
117 93 0
119 89 0
121 86 0
122 83 0
123 82 0
124 79 0
124 76 0
124 74 0
124 71 0
124 69 0
124 68 0
124 66 0
124 65 0
124 63 0
123 62 0
123 61 0
122 64 0
121 69 0
120 74 0
120 78 0
120 83 0
121 88 0
122 92 0
123 96 0
123 100 0
124 104 0
124 106 0
124 110 0
125 113 0
125 116 0
125 117 0
125 118 0
.PEN_UP
