.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
114 77 0
114 77 0
113 77 0
112 77 0
110 77 0
106 78 0
103 78 0
101 78 0
98 79 0
94 81 0
91 82 0
88 83 0
86 85 0
84 86 0
83 87 0
82 88 0
82 89 0
82 91 0
82 94 0
82 96 0
82 97 0
82 98 0
82 99 0
83 100 0
84 101 0
85 102 0
86 102 0
88 103 0
89 103 0
90 103 0
91 103 0
93 103 0
95 103 0
97 102 0
100 101 0
104 99 0
107 98 0
110 97 0
111 96 0
112 95 0
113 95 0
113 93 0
114 90 0
116 88 0
117 86 0
120 84 0
121 81 0
122 78 0
123 76 0
123 73 0
123 70 0
123 69 0
123 66 0
123 64 0
123 63 0
123 60 0
123 59 0
122 58 0
122 57 0
122 56 0
121 59 0
121 61 0
121 64 0
121 68 0
121 71 0
121 75 0
121 79 0
121 83 0
121 85 0
121 88 0
121 90 0
121 92 0
121 95 0
121 98 0
121 101 0
121 104 0
121 107 0
121 108 0
121 110 0
121 111 0
121 112 0
122 113 0
.PEN_UP
