.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
84 54 0
84 54 0
85 56 0
86 60 0
88 64 0
92 70 0
95 74 0
98 77 0
101 80 0
104 81 0
107 82 0
111 82 0
115 80 0
119 76 0
124 73 0
126 69 0
128 66 0
129 62 0
129 60 0
129 57 0
129 55 0
129 54 0
129 53 0
128 56 0
127 59 0
126 65 0
124 72 0
122 81 0
119 89 0
116 100 0
113 107 0
109 115 0
107 119 0
104 123 0
101 126 0
98 127 0
95 128 0
91 128 0
86 126 0
82 124 0
77 121 0
74 119 0
74 118 0
.PEN_UP
