.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
92 54 0
92 54 0
93 57 0
95 61 0
99 67 0
101 71 0
103 73 0
104 75 0
106 76 0
107 77 0
109 76 0
111 75 0
114 74 0
116 72 0
119 70 0
121 68 0
123 67 0
124 65 0
124 63 0
125 60 0
125 59 0
125 57 0
125 56 0
125 55 0
125 58 0
125 63 0
125 68 0
125 75 0
125 81 0
125 88 0
126 95 0
126 102 0
126 106 0
126 109 0
126 113 0
125 116 0
125 117 0
124 119 0
122 120 0
120 120 0
119 120 0
118 118 0
115 115 0
114 111 0
114 109 0
114 105 0
114 101 0
117 97 0
119 94 0
124 91 0
128 87 0
134 84 0
138 82 0
141 81 0
142 79 0
142 78 0
141 78 0
141 77 0
.PEN_UP
