.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
79 79 0
79 79 0
79 78 0
80 76 0
82 73 0
84 71 0
86 69 0
86 67 0
86 65 0
85 65 0
84 66 0
83 67 0
83 68 0
82 70 0
82 72 0
82 73 0
82 76 0
82 79 0
83 82 0
85 85 0
87 89 0
88 93 0
90 97 0
92 100 0
94 104 0
95 108 0
97 112 0
99 116 0
101 119 0
102 121 0
103 121 0
103 122 0
103 123 0
104 123 0
105 123 0
106 122 0
108 119 0
110 115 0
113 111 0
117 106 0
119 101 0
122 95 0
125 89 0
128 83 0
129 78 0
130 74 0
130 71 0
130 70 0
130 69 0
129 68 0
128 68 0
128 67 0
127 66 0
125 65 0
124 65 0
122 64 0
119 64 0
118 64 0
117 64 0
116 67 0
116 68 0
116 70 0
116 72 0
118 74 0
121 76 0
124 78 0
128 79 0
133 79 0
138 79 0
141 79 0
141 78 0
.PEN_UP
