.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
94 50 0
94 50 0
94 52 0
94 54 0
94 58 0
94 61 0
94 65 0
94 69 0
94 71 0
94 75 0
94 78 0
94 80 0
95 83 0
96 86 0
97 88 0
98 89 0
100 91 0
102 93 0
103 95 0
105 96 0
107 97 0
108 98 0
111 99 0
114 100 0
116 100 0
117 100 0
120 99 0
122 97 0
123 95 0
125 92 0
127 89 0
128 88 0
130 84 0
131 81 0
132 78 0
132 76 0
132 72 0
133 69 0
133 66 0
133 63 0
133 60 0
133 57 0
133 56 0
133 55 0
133 54 0
133 53 0
133 51 0
133 50 0
133 49 0
.PEN_UP
