.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
58 63 0
58 63 0
57 65 0
57 69 0
55 74 0
55 77 0
55 82 0
56 88 0
56 93 0
57 96 0
59 99 0
62 101 0
64 102 0
66 102 0
70 102 0
74 102 0
79 100 0
84 98 0
89 95 0
94 92 0
97 90 0
99 87 0
102 83 0
102 80 0
103 77 0
103 73 0
103 72 0
103 69 0
103 68 0
103 67 0
103 66 0
102 69 0
101 71 0
101 76 0
101 80 0
101 84 0
101 88 0
101 93 0
101 96 0
102 100 0
104 104 0
106 107 0
108 110 0
111 111 0
115 112 0
119 113 0
122 113 0
125 113 0
128 112 0
129 111 0
129 110 0
.PEN_UP
