.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
83 67 0
83 67 0
83 70 0
83 73 0
81 80 0
81 85 0
81 90 0
81 97 0
81 101 0
81 103 0
82 106 0
83 108 0
85 109 0
87 110 0
88 110 0
91 110 0
95 110 0
99 108 0
103 107 0
105 105 0
108 103 0
111 100 0
113 96 0
115 92 0
116 88 0
117 84 0
118 81 0
118 79 0
118 76 0
118 73 0
118 72 0
118 71 0
118 70 0
118 73 0
118 75 0
118 78 0
118 80 0
118 82 0
118 84 0
118 86 0
118 88 0
118 90 0
118 93 0
119 94 0
120 97 0
120 99 0
120 100 0
121 103 0
122 105 0
123 107 0
124 107 0
124 108 0
125 109 0
126 109 0
127 109 0
128 109 0
129 109 0
130 109 0
131 109 0
132 109 0
133 109 0
134 109 0
.PEN_UP
