.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
97 85 0
97 85 0
97 84 0
98 83 0
102 80 0
108 76 0
114 73 0
118 71 0
121 68 0
122 66 0
123 66 0
122 66 0
121 67 0
120 70 0
118 73 0
117 75 0
115 79 0
114 82 0
114 86 0
114 90 0
114 92 0
114 96 0
114 99 0
114 101 0
115 103 0
116 105 0
118 107 0
120 108 0
121 109 0
123 110 0
125 111 0
129 111 0
134 112 0
139 112 0
144 109 0
149 107 0
153 105 0
155 103 0
156 102 0
157 100 0
157 99 0
157 98 0
156 98 0
155 97 0
.PEN_UP
.PEN_DOWN
124 44 0
124 44 0
125 44 0
125 45 0
125 46 0
125 47 0
124 48 0
.PEN_UP
