.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
123 69 0
123 69 0
122 69 0
120 69 0
118 69 0
115 69 0
112 69 0
109 69 0
106 69 0
104 69 0
103 69 0
103 70 0
102 71 0
101 72 0
100 73 0
100 74 0
100 76 0
100 78 0
100 79 0
100 81 0
100 83 0
100 84 0
101 85 0
103 86 0
104 87 0
106 88 0
107 88 0
110 88 0
111 88 0
113 87 0
115 86 0
117 85 0
119 84 0
121 83 0
122 82 0
123 81 0
123 80 0
123 79 0
123 78 0
123 77 0
123 76 0
123 75 0
123 74 0
123 73 0
123 72 0
123 75 0
123 77 0
123 81 0
123 85 0
123 89 0
122 92 0
122 96 0
122 99 0
122 102 0
121 105 0
120 109 0
119 112 0
118 115 0
116 117 0
113 120 0
110 122 0
107 125 0
103 127 0
99 128 0
96 129 0
93 129 0
90 129 0
86 129 0
84 128 0
80 127 0
77 125 0
74 123 0
71 121 0
71 119 0
71 118 0
71 116 0
.PEN_UP
