.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
113 57 0
113 57 0
113 56 0
113 55 0
113 54 0
112 53 0
111 51 0
108 50 0
106 50 0
103 50 0
101 50 0
99 50 0
96 50 0
93 51 0
91 53 0
90 56 0
87 59 0
85 62 0
84 64 0
84 67 0
84 70 0
84 72 0
84 75 0
85 79 0
87 81 0
89 84 0
90 84 0
91 85 0
92 85 0
93 85 0
94 85 0
96 84 0
99 82 0
101 81 0
103 80 0
106 78 0
108 77 0
109 76 0
109 75 0
111 73 0
112 72 0
113 70 0
113 69 0
113 68 0
113 67 0
113 65 0
113 64 0
113 63 0
113 62 0
113 64 0
113 66 0
113 69 0
113 74 0
114 80 0
114 85 0
114 91 0
115 98 0
115 105 0
116 111 0
116 117 0
117 123 0
117 128 0
117 133 0
117 137 0
117 141 0
116 143 0
114 145 0
113 146 0
112 148 0
111 148 0
109 148 0
107 147 0
106 146 0
105 144 0
102 142 0
100 141 0
100 139 0
99 137 0
99 134 0
99 131 0
99 127 0
99 123 0
101 116 0
104 110 0
109 104 0
112 100 0
117 95 0
123 92 0
127 88 0
130 86 0
131 84 0
132 82 0
133 81 0
.PEN_UP
