.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
117 77 0
117 77 0
117 76 0
118 75 0
120 72 0
122 70 0
125 67 0
127 64 0
128 62 0
129 59 0
130 59 0
130 58 0
130 60 0
129 62 0
128 65 0
128 70 0
126 77 0
126 84 0
126 92 0
126 99 0
126 106 0
126 114 0
126 120 0
126 126 0
126 130 0
126 133 0
125 135 0
124 137 0
123 138 0
122 138 0
121 138 0
120 137 0
119 136 0
118 134 0
116 132 0
115 128 0
113 121 0
112 115 0
112 108 0
114 103 0
120 94 0
123 91 0
126 88 0
128 86 0
130 85 0
131 84 0
132 82 0
.PEN_UP
