.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
130 52 0
130 52 0
130 51 0
129 51 0
129 50 0
128 50 0
128 49 0
127 49 0
125 48 0
121 48 0
117 48 0
111 48 0
106 49 0
101 49 0
95 50 0
93 51 0
91 52 0
90 53 0
89 54 0
89 55 0
88 57 0
86 60 0
85 63 0
84 65 0
84 68 0
83 71 0
83 73 0
82 77 0
82 80 0
82 84 0
82 87 0
83 91 0
84 94 0
85 99 0
87 102 0
89 106 0
91 112 0
94 115 0
97 117 0
99 120 0
101 122 0
104 124 0
105 125 0
108 125 0
112 125 0
116 125 0
121 125 0
126 123 0
129 122 0
133 122 0
134 121 0
137 119 0
140 117 0
142 115 0
145 113 0
146 110 0
148 109 0
149 106 0
150 104 0
151 100 0
151 98 0
151 95 0
151 92 0
151 90 0
151 87 0
151 84 0
151 82 0
151 79 0
150 77 0
149 75 0
148 73 0
147 70 0
146 68 0
144 67 0
143 65 0
143 63 0
142 62 0
141 61 0
140 60 0
140 59 0
139 58 0
138 57 0
137 56 0
137 55 0
137 54 0
136 54 0
135 53 0
135 52 0
134 51 0
133 51 0
133 50 0
132 50 0
132 49 0
131 49 0
131 48 0
130 48 0
129 48 0
129 47 0
.PEN_UP
