.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
124 65 0
124 65 0
123 65 0
122 65 0
121 65 0
120 65 0
119 65 0
117 65 0
115 65 0
114 65 0
111 66 0
110 67 0
109 69 0
108 69 0
107 71 0
106 73 0
105 74 0
105 76 0
105 79 0
105 80 0
105 83 0
105 86 0
105 88 0
105 90 0
105 94 0
105 95 0
106 98 0
107 101 0
109 103 0
111 104 0
113 107 0
114 109 0
118 111 0
121 113 0
125 114 0
130 115 0
134 115 0
138 115 0
142 115 0
144 115 0
146 114 0
148 113 0
150 111 0
150 109 0
152 107 0
153 104 0
155 101 0
155 98 0
155 96 0
155 92 0
155 88 0
155 85 0
155 82 0
155 79 0
154 75 0
153 72 0
152 70 0
151 67 0
149 65 0
148 62 0
145 59 0
143 58 0
142 56 0
140 55 0
137 54 0
136 53 0
134 53 0
132 53 0
130 53 0
128 53 0
127 53 0
125 53 0
124 53 0
123 53 0
122 55 0
121 56 0
121 57 0
120 59 0
119 61 0
118 62 0
118 64 0
117 65 0
117 66 0
117 67 0
117 68 0
117 69 0
117 70 0
.PEN_UP
