.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
101 74 0
101 74 0
100 74 0
99 75 0
97 77 0
96 79 0
94 81 0
93 81 0
93 83 0
93 84 0
92 86 0
91 89 0
91 90 0
91 91 0
91 93 0
91 94 0
91 97 0
91 99 0
92 100 0
93 102 0
95 103 0
97 105 0
98 107 0
100 107 0
101 108 0
102 109 0
103 110 0
105 110 0
108 110 0
109 110 0
111 110 0
114 110 0
115 110 0
116 109 0
117 107 0
118 105 0
118 103 0
118 102 0
119 100 0
120 99 0
120 98 0
120 96 0
120 95 0
120 93 0
120 92 0
120 91 0
119 89 0
118 88 0
118 87 0
117 86 0
116 84 0
115 84 0
115 83 0
114 82 0
113 81 0
112 80 0
111 80 0
111 79 0
110 78 0
109 78 0
109 77 0
108 77 0
107 77 0
106 77 0
105 77 0
105 76 0
104 76 0
103 76 0
102 76 0
101 76 0
100 76 0
.PEN_UP
