.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
60 75 0
60 75 0
64 73 0
72 70 0
82 65 0
89 61 0
95 57 0
98 52 0
100 49 0
101 48 0
101 47 0
101 46 0
100 46 0
99 46 0
96 46 0
92 46 0
86 49 0
82 51 0
79 54 0
76 58 0
75 62 0
75 67 0
75 72 0
75 79 0
75 84 0
76 90 0
77 95 0
79 99 0
81 102 0
83 104 0
86 105 0
89 105 0
94 105 0
98 101 0
102 98 0
106 92 0
109 86 0
112 81 0
113 77 0
113 73 0
113 70 0
113 69 0
112 68 0
111 68 0
109 69 0
108 72 0
104 77 0
103 83 0
103 88 0
103 93 0
103 97 0
105 100 0
108 103 0
111 103 0
114 103 0
117 103 0
121 101 0
125 96 0
128 92 0
130 86 0
133 79 0
135 72 0
135 65 0
135 60 0
135 55 0
134 51 0
132 49 0
131 47 0
130 47 0
129 47 0
129 48 0
127 50 0
127 51 0
126 52 0
126 54 0
126 55 0
127 57 0
129 58 0
131 58 0
134 59 0
137 59 0
138 59 0
139 59 0
140 59 0
141 58 0
142 57 0
.PEN_UP
