.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
62 70 0
62 70 0
62 73 0
62 78 0
62 83 0
63 90 0
63 94 0
63 97 0
66 101 0
68 104 0
71 106 0
74 107 0
78 107 0
81 107 0
84 105 0
86 103 0
88 100 0
89 98 0
90 96 0
90 94 0
90 91 0
90 90 0
89 89 0
89 92 0
89 94 0
89 97 0
90 101 0
91 104 0
94 107 0
96 108 0
100 109 0
104 109 0
107 109 0
111 108 0
116 104 0
120 101 0
123 98 0
125 94 0
127 88 0
127 83 0
127 79 0
127 76 0
127 72 0
126 69 0
126 66 0
125 64 0
124 62 0
123 61 0
122 61 0
.PEN_UP
