.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
69 62 0
69 62 0
69 61 0
69 60 0
70 64 0
71 69 0
74 76 0
76 85 0
77 92 0
80 99 0
81 105 0
82 107 0
82 110 0
82 111 0
83 111 0
84 111 0
85 110 0
87 107 0
89 103 0
92 100 0
94 96 0
95 92 0
96 89 0
97 88 0
97 86 0
97 85 0
98 87 0
100 91 0
102 97 0
106 101 0
109 107 0
111 111 0
113 114 0
114 115 0
115 116 0
115 115 0
116 112 0
118 107 0
121 100 0
122 91 0
123 83 0
124 74 0
126 65 0
127 60 0
127 56 0
127 55 0
.PEN_UP
