.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
78 71 0
78 71 0
79 71 0
80 72 0
80 75 0
83 79 0
84 85 0
86 90 0
86 96 0
87 101 0
87 106 0
87 110 0
86 112 0
86 113 0
85 113 0
85 112 0
84 110 0
84 108 0
84 105 0
84 101 0
84 97 0
84 94 0
84 91 0
84 88 0
84 85 0
86 84 0
87 83 0
88 81 0
89 79 0
91 78 0
92 78 0
93 78 0
94 78 0
95 78 0
96 78 0
97 78 0
98 80 0
99 82 0
100 84 0
101 87 0
102 91 0
103 95 0
103 97 0
103 100 0
103 102 0
103 103 0
103 104 0
103 105 0
102 105 0
102 104 0
102 102 0
102 100 0
102 97 0
102 94 0
102 90 0
103 88 0
104 85 0
106 83 0
107 81 0
108 81 0
109 80 0
110 79 0
111 79 0
112 78 0
113 78 0
114 78 0
115 78 0
116 79 0
116 80 0
117 82 0
118 84 0
119 87 0
120 89 0
120 92 0
120 95 0
120 96 0
120 99 0
120 101 0
120 102 0
120 104 0
120 106 0
120 107 0
120 109 0
120 111 0
120 112 0
120 114 0
120 115 0
120 116 0
120 115 0
.PEN_UP
