.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
71 78 0
71 78 0
71 79 0
71 81 0
71 85 0
71 89 0
72 94 0
72 99 0
72 103 0
72 104 0
72 106 0
72 105 0
73 102 0
75 97 0
78 90 0
80 84 0
83 80 0
85 76 0
87 74 0
88 72 0
89 72 0
89 74 0
89 75 0
90 79 0
91 83 0
92 87 0
92 91 0
92 95 0
92 97 0
92 98 0
92 99 0
93 98 0
95 94 0
98 91 0
101 86 0
104 81 0
107 76 0
109 71 0
111 69 0
111 66 0
112 65 0
113 65 0
113 67 0
114 71 0
116 78 0
118 82 0
119 87 0
120 91 0
121 95 0
122 99 0
124 102 0
124 104 0
125 105 0
125 106 0
.PEN_UP
