.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
88 107 0
88 107 0
88 106 0
88 104 0
89 101 0
91 97 0
94 90 0
96 85 0
98 79 0
100 75 0
101 73 0
101 72 0
101 74 0
102 80 0
105 86 0
108 93 0
111 100 0
113 105 0
113 107 0
113 108 0
114 108 0
116 105 0
118 101 0
120 95 0
123 90 0
127 84 0
130 79 0
131 78 0
131 76 0
131 80 0
134 87 0
135 92 0
137 99 0
139 104 0
139 107 0
139 110 0
139 113 0
139 114 0
139 116 0
139 118 0
.PEN_UP
