.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
122 65 0
122 65 0
122 64 0
121 64 0
121 63 0
120 63 0
118 63 0
116 63 0
114 63 0
111 65 0
108 66 0
107 68 0
106 69 0
105 70 0
104 72 0
104 73 0
103 74 0
103 76 0
103 77 0
103 78 0
104 80 0
105 81 0
106 83 0
107 85 0
109 86 0
111 87 0
113 89 0
115 91 0
117 92 0
119 94 0
120 94 0
121 96 0
123 98 0
124 99 0
124 101 0
124 103 0
124 105 0
123 106 0
122 107 0
121 108 0
119 108 0
117 108 0
116 108 0
114 108 0
113 107 0
112 107 0
110 107 0
108 106 0
106 106 0
104 105 0
102 104 0
100 104 0
99 104 0
97 104 0
97 103 0
96 103 0
.PEN_UP
