.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
115 71 0
115 71 0
115 70 0
115 69 0
115 68 0
114 68 0
114 67 0
114 66 0
113 66 0
112 65 0
111 65 0
110 65 0
107 65 0
105 65 0
103 65 0
99 65 0
97 65 0
94 65 0
92 65 0
90 66 0
90 67 0
88 68 0
87 69 0
87 70 0
87 72 0
86 73 0
86 74 0
86 76 0
86 77 0
86 79 0
86 80 0
86 83 0
86 85 0
87 86 0
87 89 0
87 90 0
88 91 0
89 93 0
91 95 0
92 98 0
93 99 0
94 100 0
95 102 0
96 103 0
97 104 0
98 105 0
100 106 0
101 107 0
103 107 0
106 108 0
108 108 0
111 108 0
113 108 0
114 108 0
116 108 0
117 108 0
118 107 0
119 107 0
120 107 0
.PEN_UP
