.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
134 65 0
134 65 0
134 64 0
133 63 0
131 62 0
130 61 0
127 61 0
123 61 0
119 61 0
116 61 0
114 61 0
112 61 0
111 61 0
109 63 0
107 64 0
105 66 0
105 67 0
103 70 0
102 72 0
101 75 0
99 78 0
98 80 0
98 82 0
98 86 0
98 88 0
98 92 0
98 95 0
98 98 0
98 101 0
99 104 0
101 106 0
103 109 0
105 111 0
108 113 0
109 115 0
111 116 0
114 118 0
116 119 0
119 120 0
123 120 0
129 120 0
132 120 0
136 120 0
139 120 0
140 120 0
.PEN_UP
