.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
122 60 0
122 60 0
121 60 0
121 59 0
120 58 0
118 56 0
117 56 0
117 55 0
115 55 0
115 54 0
114 53 0
113 53 0
112 53 0
111 53 0
109 53 0
107 53 0
104 53 0
101 53 0
100 53 0
97 54 0
96 56 0
94 58 0
93 59 0
93 61 0
92 62 0
91 63 0
91 65 0
90 67 0
90 68 0
90 71 0
90 73 0
90 74 0
90 76 0
90 79 0
90 80 0
91 81 0
92 83 0
94 84 0
94 85 0
96 86 0
98 88 0
100 89 0
101 90 0
102 91 0
103 91 0
105 91 0
106 91 0
108 91 0
110 91 0
112 91 0
114 91 0
115 91 0
116 91 0
117 90 0
118 89 0
120 88 0
121 87 0
122 87 0
123 87 0
124 86 0
124 85 0
124 84 0
125 84 0
126 82 0
126 81 0
.PEN_UP
