.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
101 59 0
101 59 0
101 61 0
101 63 0
101 67 0
101 73 0
101 80 0
101 87 0
102 94 0
103 101 0
103 106 0
103 110 0
105 115 0
105 118 0
105 121 0
105 122 0
105 124 0
105 125 0
105 124 0
105 122 0
105 119 0
105 116 0
105 111 0
105 107 0
106 103 0
107 99 0
108 95 0
109 93 0
109 91 0
109 89 0
111 88 0
113 87 0
114 87 0
115 87 0
117 87 0
118 87 0
119 87 0
121 89 0
121 92 0
122 94 0
122 98 0
122 101 0
121 103 0
119 105 0
117 108 0
114 110 0
113 110 0
112 110 0
111 110 0
110 110 0
109 110 0
108 110 0
107 110 0
106 109 0
105 109 0
106 109 0
107 109 0
109 112 0
113 114 0
118 117 0
123 121 0
131 127 0
139 132 0
143 135 0
145 137 0
146 138 0
145 138 0
.PEN_UP
