.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
96 47 0
96 47 0
96 50 0
96 53 0
97 58 0
97 64 0
97 70 0
95 77 0
95 84 0
95 91 0
95 98 0
95 102 0
95 107 0
95 109 0
95 112 0
95 113 0
95 115 0
95 116 0
94 116 0
94 115 0
94 113 0
94 111 0
95 107 0
95 103 0
96 99 0
97 95 0
98 92 0
100 88 0
101 86 0
103 84 0
105 82 0
107 81 0
108 80 0
109 80 0
109 79 0
109 81 0
109 83 0
107 85 0
105 88 0
104 91 0
102 92 0
100 93 0
100 94 0
100 95 0
99 95 0
99 96 0
99 97 0
98 98 0
97 98 0
97 99 0
97 100 0
96 100 0
96 101 0
95 101 0
97 101 0
98 102 0
102 103 0
105 105 0
109 107 0
112 109 0
116 112 0
120 113 0
123 115 0
127 116 0
128 117 0
131 118 0
133 119 0
134 120 0
135 120 0
.PEN_UP
