.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
103 63 0
103 63 0
103 67 0
103 73 0
103 81 0
103 88 0
101 97 0
101 103 0
101 109 0
101 114 0
101 117 0
101 121 0
101 124 0
101 125 0
101 124 0
100 121 0
101 115 0
102 108 0
103 102 0
105 97 0
109 91 0
112 85 0
114 82 0
116 81 0
116 80 0
116 82 0
115 84 0
114 87 0
113 90 0
111 94 0
108 97 0
106 99 0
105 100 0
105 101 0
105 102 0
110 106 0
115 110 0
122 113 0
129 118 0
137 123 0
143 127 0
147 129 0
.PEN_UP
