.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
89 106 0
89 106 0
89 105 0
89 102 0
89 99 0
89 95 0
89 91 0
89 86 0
89 82 0
90 77 0
90 74 0
91 72 0
91 71 0
92 71 0
94 74 0
98 79 0
106 87 0
113 95 0
121 104 0
126 110 0
130 114 0
131 117 0
132 118 0
132 117 0
132 114 0
132 113 0
132 108 0
132 103 0
132 97 0
133 90 0
133 84 0
134 77 0
134 71 0
134 68 0
134 66 0
.PEN_UP
