.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
70 73 0
70 73 0
71 73 0
72 75 0
73 79 0
73 81 0
73 85 0
73 88 0
73 90 0
73 92 0
73 94 0
72 94 0
72 93 0
72 91 0
72 90 0
72 87 0
72 84 0
73 82 0
74 81 0
75 79 0
75 77 0
76 76 0
77 76 0
77 75 0
77 74 0
78 74 0
79 74 0
80 74 0
81 75 0
81 76 0
82 77 0
83 79 0
84 80 0
84 81 0
84 83 0
84 84 0
85 86 0
85 88 0
86 90 0
86 92 0
86 94 0
87 95 0
87 97 0
88 99 0
88 100 0
89 101 0
90 102 0
91 102 0
92 102 0
93 102 0
95 101 0
95 100 0
97 99 0
98 99 0
.PEN_UP
