.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
142 69 0
142 69 0
142 68 0
142 67 0
142 66 0
141 65 0
141 64 0
140 64 0
140 63 0
139 62 0
138 62 0
137 61 0
135 60 0
132 60 0
129 60 0
126 60 0
122 59 0
117 59 0
113 59 0
109 59 0
108 59 0
107 59 0
106 59 0
105 60 0
104 61 0
103 63 0
102 65 0
102 68 0
102 70 0
102 72 0
102 75 0
102 77 0
102 79 0
103 82 0
105 85 0
107 87 0
108 89 0
110 92 0
113 94 0
114 95 0
115 96 0
117 97 0
118 98 0
121 99 0
124 100 0
129 100 0
133 100 0
135 100 0
138 100 0
140 99 0
140 98 0
141 97 0
141 96 0
141 95 0
141 93 0
141 92 0
141 90 0
141 89 0
141 86 0
141 85 0
141 84 0
141 82 0
141 80 0
141 79 0
141 78 0
141 77 0
141 75 0
141 74 0
141 73 0
141 76 0
141 78 0
142 81 0
142 84 0
142 87 0
144 89 0
145 92 0
146 94 0
147 95 0
149 97 0
150 98 0
152 100 0
153 101 0
154 102 0
157 103 0
159 104 0
161 105 0
162 106 0
164 106 0
167 106 0
168 106 0
169 106 0
170 106 0
.PEN_UP
