.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
117 32 0
117 32 0
117 33 0
117 34 0
116 38 0
116 42 0
114 47 0
113 54 0
112 61 0
110 70 0
108 79 0
107 87 0
105 96 0
103 103 0
103 108 0
102 112 0
102 115 0
102 116 0
102 117 0
102 116 0
102 113 0
104 109 0
107 104 0
109 100 0
111 94 0
113 91 0
115 87 0
117 84 0
118 82 0
118 81 0
120 80 0
121 79 0
122 79 0
123 79 0
123 81 0
124 82 0
125 86 0
127 90 0
128 96 0
129 101 0
129 106 0
129 109 0
129 113 0
129 116 0
130 118 0
131 120 0
131 121 0
131 122 0
130 122 0
.PEN_UP
