.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
102 36 0
102 36 0
101 40 0
100 43 0
99 49 0
97 56 0
96 63 0
95 70 0
94 77 0
94 85 0
92 92 0
92 99 0
90 105 0
90 110 0
89 112 0
88 115 0
88 117 0
88 118 0
87 118 0
87 117 0
87 114 0
88 111 0
89 108 0
90 104 0
90 101 0
90 97 0
91 95 0
93 92 0
94 90 0
96 88 0
97 87 0
98 86 0
99 85 0
100 85 0
101 85 0
102 85 0
104 85 0
104 87 0
106 90 0
107 92 0
109 95 0
110 98 0
111 101 0
112 104 0
113 106 0
114 109 0
115 111 0
115 112 0
116 112 0
117 113 0
118 114 0
120 115 0
123 115 0
125 115 0
128 114 0
130 113 0
131 112 0
132 111 0
133 110 0
134 110 0
.PEN_UP
