.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
95 52 0
95 52 0
95 51 0
95 50 0
96 55 0
98 63 0
98 70 0
99 79 0
100 87 0
101 96 0
101 104 0
101 111 0
101 116 0
101 119 0
101 121 0
101 122 0
101 123 0
101 122 0
100 120 0
100 116 0
100 113 0
101 106 0
102 102 0
102 99 0
102 96 0
103 93 0
104 90 0
105 90 0
106 89 0
106 88 0
107 88 0
108 88 0
109 88 0
110 88 0
112 88 0
112 89 0
115 92 0
117 95 0
118 99 0
120 104 0
123 110 0
124 115 0
126 121 0
127 125 0
128 128 0
129 129 0
130 129 0
.PEN_UP
