.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
93 48 0
93 48 0
95 47 0
99 46 0
104 45 0
111 44 0
116 44 0
119 44 0
120 44 0
121 44 0
122 44 0
123 44 0
122 44 0
121 47 0
118 51 0
115 57 0
113 64 0
111 71 0
108 78 0
104 87 0
101 93 0
99 99 0
95 103 0
94 106 0
93 108 0
91 109 0
90 109 0
89 109 0
88 108 0
88 106 0
87 103 0
87 100 0
87 96 0
87 92 0
88 88 0
90 85 0
93 84 0
95 83 0
96 83 0
99 83 0
102 84 0
107 89 0
113 94 0
120 100 0
127 103 0
131 105 0
134 107 0
135 107 0
.PEN_UP
