.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
82 58 0
82 58 0
85 58 0
90 59 0
98 59 0
105 60 0
109 60 0
112 60 0
114 60 0
115 60 0
115 59 0
113 63 0
110 67 0
106 73 0
101 79 0
96 85 0
93 91 0
89 97 0
87 101 0
85 103 0
84 106 0
84 108 0
83 109 0
83 111 0
85 110 0
90 110 0
97 107 0
106 106 0
111 106 0
114 106 0
118 106 0
120 106 0
121 106 0
122 106 0
123 106 0
124 106 0
.PEN_UP
