.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
75 93 0
75 93 0
77 93 0
79 93 0
83 93 0
86 93 0
91 93 0
93 93 0
97 93 0
99 93 0
100 93 0
101 92 0
103 90 0
103 88 0
105 88 0
107 85 0
108 83 0
108 82 0
108 80 0
108 78 0
108 77 0
107 76 0
107 74 0
106 74 0
104 73 0
104 72 0
102 72 0
100 71 0
99 71 0
97 71 0
94 71 0
93 71 0
91 71 0
90 71 0
89 71 0
87 72 0
86 73 0
85 74 0
84 75 0
84 77 0
84 79 0
83 81 0
83 83 0
83 85 0
83 87 0
83 90 0
83 91 0
83 93 0
83 96 0
83 97 0
83 99 0
84 101 0
84 102 0
84 104 0
85 106 0
87 107 0
88 108 0
88 109 0
90 110 0
92 110 0
96 112 0
99 112 0
103 112 0
107 112 0
110 112 0
113 112 0
116 112 0
119 112 0
120 112 0
121 112 0
.PEN_UP
