.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
93 91 0
93 91 0
94 91 0
95 91 0
98 91 0
101 91 0
104 90 0
106 90 0
108 89 0
109 88 0
109 86 0
110 86 0
111 84 0
112 82 0
113 81 0
113 79 0
113 77 0
113 74 0
113 73 0
112 71 0
112 70 0
111 69 0
110 68 0
109 67 0
108 66 0
107 66 0
106 66 0
105 66 0
103 66 0
102 66 0
100 66 0
99 66 0
98 66 0
97 67 0
97 68 0
96 68 0
96 70 0
95 71 0
95 72 0
95 74 0
95 75 0
95 77 0
95 79 0
95 80 0
95 81 0
95 83 0
95 84 0
95 85 0
95 87 0
96 87 0
97 89 0
97 90 0
98 91 0
100 93 0
101 95 0
103 96 0
104 97 0
106 98 0
107 100 0
110 101 0
111 102 0
113 102 0
116 102 0
117 102 0
120 102 0
123 102 0
127 102 0
128 102 0
130 102 0
131 102 0
132 101 0
134 101 0
134 100 0
.PEN_UP
