.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
91 79 0
91 79 0
94 79 0
99 80 0
106 80 0
111 80 0
114 80 0
117 80 0
119 79 0
119 78 0
119 77 0
120 76 0
121 75 0
121 74 0
121 72 0
120 70 0
119 70 0
117 68 0
115 66 0
113 65 0
109 64 0
106 63 0
103 63 0
100 63 0
98 63 0
97 63 0
96 63 0
95 64 0
95 65 0
93 65 0
92 67 0
91 69 0
91 72 0
91 74 0
91 77 0
91 80 0
91 82 0
91 85 0
92 89 0
93 93 0
94 95 0
96 98 0
98 102 0
101 105 0
104 107 0
108 108 0
112 109 0
117 109 0
123 109 0
129 109 0
131 109 0
134 108 0
.PEN_UP
