.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
105 107 0
105 107 0
105 106 0
105 104 0
105 102 0
105 99 0
105 95 0
105 91 0
103 86 0
103 81 0
103 77 0
103 72 0
103 69 0
103 64 0
103 60 0
103 56 0
103 55 0
103 52 0
103 49 0
103 48 0
103 46 0
103 45 0
103 48 0
102 50 0
102 55 0
102 60 0
103 66 0
104 71 0
105 75 0
106 81 0
108 86 0
109 90 0
110 94 0
110 98 0
111 103 0
111 106 0
111 109 0
111 112 0
112 115 0
113 116 0
114 116 0
114 117 0
114 118 0
115 118 0
116 118 0
118 118 0
123 118 0
128 116 0
132 115 0
136 114 0
139 114 0
.PEN_UP
