.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
88 127 0
88 127 0
88 126 0
88 124 0
89 120 0
92 115 0
93 108 0
95 99 0
98 92 0
99 83 0
100 78 0
100 71 0
100 67 0
100 63 0
100 62 0
100 59 0
100 58 0
99 56 0
99 54 0
99 52 0
98 51 0
97 51 0
95 53 0
93 56 0
92 59 0
91 65 0
91 72 0
91 80 0
92 87 0
93 96 0
95 103 0
98 110 0
100 116 0
102 121 0
104 127 0
105 131 0
107 133 0
108 134 0
109 135 0
110 135 0
112 135 0
113 134 0
116 134 0
117 133 0
118 133 0
118 132 0
.PEN_UP
