.VERSION 1.0
.HIERARCHY CHARACTER
.COORD X Y T
.SEGMENT CHARACTER
.X_POINTS_PER_INCH 100
.Y_POINTS_PER_INCH 100
.POINTS_PER_SECOND 75
.H_LINE 2760 3280
.V_LINE 2320 2840
.PEN_DOWN
91 99 0
91 99 0
91 98 0
91 96 0
91 92 0
91 89 0
91 85 0
91 81 0
93 76 0
93 71 0
93 67 0
93 63 0
93 59 0
93 56 0
93 53 0
93 51 0
93 54 0
93 59 0
93 65 0
94 71 0
95 76 0
95 81 0
96 87 0
97 91 0
97 94 0
97 98 0
98 101 0
98 103 0
98 105 0
99 107 0
100 108 0
100 109 0
100 110 0
102 112 0
104 112 0
105 113 0
106 114 0
107 114 0
108 114 0
111 113 0
113 112 0
115 111 0
116 110 0
117 109 0
.PEN_UP
